firmeza_predict,firmeza_real
12.244999999999983,14.8
16.048500000000004,14.35
16.91999999999999,12.7
16.5095,15.5
24.870999999999995,12.7
12.447,11.65
6.8764999999999965,5.55
16.686500000000002,13.5
14.511500000000016,11.4
9.332499999999989,8.05
14.540499999999984,17.8
19.264,13.1
21.844500000000004,23.5
9.8095,9.75
14.04049999999999,11.6
13.956999999999994,9.85
13.018499999999984,8.55
13.272499999999996,16.2
8.71050000000001,8.7
12.131000000000002,13.25
6.502500000000001,6.25
9.824999999999989,9.15
8.265500000000014,8.35
6.605999999999992,6.65
8.73350000000001,7.85
7.006000000000006,7.1
6.796500000000001,7.25
6.978499999999998,7.3
7.8744999999999985,8.25
5.084499999999994,4.45
6.952000000000001,5.25
6.485999999999992,6.15
